"","BAX","BCL2L11","BCL6","CAT","CDKN1A","CDKN1B","FOXO4","GADD45A","HIF1A","RBL2","SOD2"
"BAX",1,0.813534420072188,0.733831388969235,0.796293566126731,0.837059882596192,-0.134396888931737,-0.830888212746769,0.778051915704845,0.892505449400381,0.095739508222465,0.726385876743579
"BCL2L11",0.813534420072188,1,0.617687390068319,0.751775608108892,0.647952575156791,0.00401287080927623,-0.619656950709992,0.614380227246092,0.77922297941328,0.275220926224585,0.606273828147162
"BCL6",0.733831388969235,0.617687390068319,1,0.622704370844504,0.789740389563757,-0.0455209570351583,-0.534618462260021,0.723921327293239,0.612133658801276,0.277401211778184,0.696786779315348
"CAT",0.796293566126731,0.751775608108892,0.622704370844504,1,0.775773408392643,-0.147911187105591,-0.615818132997287,0.597231523775787,0.787733775046533,0.328427557619754,0.735887438358941
"CDKN1A",0.837059882596192,0.647952575156791,0.789740389563757,0.775773408392643,1,-0.225154027065123,-0.686976198390008,0.80256804888334,0.798226217598303,-0.000790433313255392,0.77484767600837
"CDKN1B",-0.134396888931737,0.00401287080927623,-0.0455209570351583,-0.147911187105591,-0.225154027065123,1,-0.0442270955672335,0.0687489823568753,-0.0615899768981596,0.46746700256921,-0.0885850323580934
"FOXO4",-0.830888212746769,-0.619656950709992,-0.534618462260021,-0.615818132997287,-0.686976198390008,-0.0442270955672335,1,-0.75467347875964,-0.886993438172188,-0.0307189642047367,-0.681318570248971
"GADD45A",0.778051915704845,0.614380227246092,0.723921327293239,0.597231523775787,0.80256804888334,0.0687489823568753,-0.75467347875964,1,0.808554093358806,0.0801755842284655,0.635737451622247
"HIF1A",0.892505449400381,0.77922297941328,0.612133658801276,0.787733775046533,0.798226217598303,-0.0615899768981596,-0.886993438172188,0.808554093358806,1,0.0331426684207182,0.788759687177424
"RBL2",0.095739508222465,0.275220926224585,0.277401211778184,0.328427557619754,-0.000790433313255392,0.46746700256921,-0.0307189642047367,0.0801755842284655,0.0331426684207182,1,-0.0181768072420684
"SOD2",0.726385876743579,0.606273828147162,0.696786779315348,0.735887438358941,0.77484767600837,-0.0885850323580934,-0.681318570248971,0.635737451622247,0.788759687177424,-0.0181768072420684,1
