"","BAX","BCL2L11","BCL6","CAT","CDKN1A","CDKN1B","FOXO4","GADD45A","RBL2","SOD2"
"BAX",1,0.417741702552265,0.605533951106741,-0.257178175602847,0.81043319183304,-0.36275611191676,-0.284989810865546,0.639000758640394,-0.610940308455964,0.446061725370048
"BCL2L11",0.417741702552265,1,0.22146795866351,-0.553867278678255,0.180958394835578,-0.559713168261736,-0.324131241190691,0.32073824091869,-0.349932603262023,0.0224924296954087
"BCL6",0.605533951106741,0.22146795866351,1,-0.55855893759287,0.588977615434958,-0.169303911905317,-0.254388743044643,0.780520819115125,-0.260349820408586,0.705886724162785
"CAT",-0.257178175602847,-0.553867278678255,-0.55855893759287,1,-0.11429484584107,0.37819029605023,0.00251251559633118,-0.527574229268823,0.471783501354066,-0.126951635068689
"CDKN1A",0.81043319183304,0.180958394835578,0.588977615434958,-0.11429484584107,1,-0.20709782592731,-0.500425071284191,0.607151187128322,-0.250243533111372,0.664850465373333
"CDKN1B",-0.36275611191676,-0.559713168261736,-0.169303911905317,0.37819029605023,-0.20709782592731,1,0.412360803473395,-0.494022891976553,0.395003238075775,-0.157321066753476
"FOXO4",-0.284989810865546,-0.324131241190691,-0.254388743044643,0.00251251559633118,-0.500425071284191,0.412360803473395,1,-0.372890146880382,-0.0363299159503936,-0.592352614360365
"GADD45A",0.639000758640394,0.32073824091869,0.780520819115125,-0.527574229268823,0.607151187128322,-0.494022891976553,-0.372890146880382,1,-0.300469967642603,0.692935123353427
"RBL2",-0.610940308455964,-0.349932603262023,-0.260349820408586,0.471783501354066,-0.250243533111372,0.395003238075775,-0.0363299159503936,-0.300469967642603,1,0.0289875835386477
"SOD2",0.446061725370048,0.0224924296954087,0.705886724162785,-0.126951635068689,0.664850465373333,-0.157321066753476,-0.592352614360365,0.692935123353427,0.0289875835386477,1
